#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	1995-10-12	1995.778483	1989.459016	2002.032723
99.9/100	2018-12-10	2018.941863	2018.130295	2020.049850
EPI2181657|A/snow_goose/North_Dakota/N22-04/2022|H5N1|PB1|2.3.4.4b||wild-bird|North_Dakota|2022-04-08	2022-04-08	2022.267123	2022.267123	2022.267123
97.6/100	2020-12-02	2020.919110	2020.610552	2021.447084
EPI2181649|A/snow_goose/North_Dakota/N22-06/2022|H5N1|PB1|2.3.4.4b||wild-bird|North_Dakota|2022-04-08	2022-04-08	2022.267123	2022.267123	2022.267123
76.5/82	2021-04-11	2021.276149	2021.064588	2021.680879
92.6/97	2021-07-07	2021.514242	2021.319774	2021.849322
77.8/88	2021-09-23	2021.727578	2021.503607	2022.028658
EPI2311573|A/northern_gannet/MA/22WI00050/2022|H5N1|PB1|2.3.4.4b||wild-bird|MA|2022-05-10	2022-05-10	2022.354795	2022.354795	2022.354795
93.8/95	2022-03-31	2022.244622	2022.004447	2022.409122
EPI2310288|A/common_tern/Maine/22-025070-002-original/2022|H5N1|PB1|2.3.4.4b||wild-bird|Maine|2022-07-20	2022-07-20	2022.549315	2022.549315	2022.549315
EPI2311461|A/common_tern/ME/COTE_20220614_1/2022|H5N1|PB1|2.3.4.4b|A2|wild-bird|ME|2022-06-14	2022-06-14	2022.450685	2022.450685	2022.450685
94.8/94	2021-10-09	2021.771757	2021.606018	2021.989526
EPI2709623|A/American_Black_Duck/Connecticut/USDA-005313-006/2022|H5N1|PB1|2.3.4.4b||wild-bird|Connecticut|2022-02-16	2022-02-16	2022.127397	2022.127397	2022.127397
EPI2310152|A/american_crow/Massachusetts/22-016611-007-original/2022|H5N1|PB1|2.3.4.4b|A2|wild-bird|Massachusetts|2022-03-21	2022-03-21	2022.217808	2022.217808	2022.217808
85.3/61	2021-11-17	2021.878450	2021.731345	2022.049852
EPI2310050|A/american_crow/Massachusetts/22-006976-004-original/2022|H5N1|PB1|2.3.4.4b||wild-bird|Massachusetts|2022-02-27	2022-02-27	2022.157534	2022.157534	2022.157534
NODE_0000009	2021-12-18	2021.963335	2021.812905	2022.162778
92.3/82	2022-05-11	2022.357710	2022.172457	2022.464384
EPI2310248|A/herring_gull/Maine/22-022526-016-original/2022|H5N1|PB1|2.3.4.4b||wild-bird|Maine|2022-07-08	2022-07-08	2022.516438	2022.516438	2022.516438
EPI2311437|A/common_eider/MA/22MM00772/2022|H5N1|PB1|2.3.4.4b||wild-bird|MA|2022-06-19	2022-06-19	2022.464384	2022.464384	2022.464384
NODE_0000012	2022-01-18	2022.047495	2021.920426	2022.163772
EPI2311533|A/american_crow/MA/22HP00160/2022|H5N1|PB1|2.3.4.4b|A2|wild-bird|MA|2022-03-22	2022-03-22	2022.220548	2022.220548	2022.220548
NODE_0000010	2022-02-14	2022.120696	2022.007815	2022.165753
EPI2703940|A/Sanderling/Massachusetts/USDA-007696-003/2022|H5N1|PB1|2.3.4.4b||wild-bird|Massachusetts|2022-03-02	2022-03-02	2022.165753	2022.165753	2022.165753
NODE_0000011	2022-03-03	2022.168493	2022.089301	2022.168493
EPI2704528|A/Sanderling/Massachusetts/USDA-007696-008/2022|H5N1|PB1|2.3.4.4b|A2|wild-bird|Massachusetts|2022-03-06	2022-03-06	2022.176712	2022.176712	2022.176712
EPI2311397|A/sanderling/MA/22HP00192/2022|H5N1|PB1|2.3.4.4b|A2|wild-bird|MA|2022-03-03	2022-03-03	2022.168493	2022.168493	2022.168493
82.6/33	2021-05-30	2021.410230	2021.254657	2021.754623
EPI2702557|A/Snow_Goose/North_Dakota/USDA-009410-001/2022|H5N1|PB1|2.3.4.4b||wild-bird|North_Dakota|2022-03-21	2022-03-21	2022.217808	2022.217808	2022.217808
EPI2704871|A/Ross_s_Goose/North_Dakota/USDA-010663-025/2022|H5N1|PB1|2.3.4.4b||wild-bird|North_Dakota|2022-04-01	2022-04-01	2022.247945	2022.247945	2022.247945
0/10	2021-06-28	2021.488455	2021.368794	2021.793752
EPI2712619|A/goose/New_Hampshire/USDA-006203-002/2022|H5N1|PB1|2.3.4.4b|A1|poultry|New_Hampshire|2022-02-22	2022-02-22	2022.143836	2022.143836	2022.143836
EPI2711139|A/Mallard/Ohio/USDA-009207-003/2022|H5N1|PB1|2.3.4.4b||wild-bird|Ohio|2022-03-08	2022-03-08	2022.182192	2022.182192	2022.182192
EPI2702336|A/Snow_Goose/Kentucky/USDA-004809-002/2022|H5N1|PB1|2.3.4.4b|A1|wild-bird|Kentucky|2022-02-08	2022-02-08	2022.105479	2022.105479	2022.105479
89.7/85	2021-12-10	2021.939892	2021.724168	2022.102740
EPI2710896|A/Mallard/Kentucky/USDA-005153-004/2022|H5N1|PB1|2.3.4.4b||wild-bird|Kentucky|2022-02-07	2022-02-07	2022.102740	2022.102740	2022.102740
EPI2705952|A/chicken/Nebraska/USDA-010905-001/2022|H5N1|PB1|2.3.4.4b|B2.1|poultry|Nebraska|2022-04-11	2022-04-11	2022.275342	2022.275342	2022.275342
91.9/87	2021-12-08	2021.934660	2021.709924	2022.110316
EPI2013939|A/turkey/Missouri/22-006944-002-original/2022|H5N1|PB1|2.3.4.4b|A1|poultry|Missouri|2022-03-07	2022-03-07	2022.179452	2022.179452	2022.179452
EPI2703428|A/Snow_Goose/South_Dakota/USDA-009478-020/2022|H5N1|PB1|2.3.4.4b|A1|wild-bird|South_Dakota|2022-03-18	2022-03-18	2022.209589	2022.209589	2022.209589
85.5/42	2021-09-23	2021.728557	2021.543930	2022.004753
