name, date
A/chicken/Texas/24-007264-001/2024|2024-03-07, 2024.18
A/chicken/Texas/24-007264-003/2024|2024-03-07, 2024.18
A/blackbird/Texas/24-008354-001/2024|2024-03-16, 2024.21
A/grackle/Texas/24-008356-001/2024|2024-03-18, 2024.21
A/grackle/Texas/24-008356-003/2024|2024-03-18, 2024.21
A/blackbird/Texas/24-008357-001/2024|2024-03-16, 2024.21
A/cattle/Texas/24-008660-001/2024|2024-03-20, 2024.22
A/cattle/Texas/24-008660-002/2024|2024-03-20, 2024.22
A/cattle/Texas/24-008749-001/2024|2024-03-20, 2024.22
A/cattle/Texas/24-008749-002/2024|2024-03-20, 2024.22
A/cattle/Texas/24-008749-003/2024|2024-03-20, 2024.22
A/cattle/Texas/24-008749-004/2024|2024-03-20, 2024.22
A/cattle/Texas/24-008749-005/2024|2024-03-20, 2024.22
A/cattle/Texas/24-008749-006/2024|2024-03-20, 2024.22
A/cattle/Texas/24-008749-007/2024|2024-03-20, 2024.22
A/cattle/Texas/24-008749-008/2024|2024-03-20, 2024.22
A/cat/Texas/24-008764-001/2024|2024-03-22, 2024.22
A/cat/Texas/24-008764-002/2024|2024-03-22, 2024.22
A/pigeon/Texas/24-008765-001/2024|2024-03-20, 2024.22
A/grackle/Texas/24-008765-002/2024|2024-03-20, 2024.22
A/cattle/Kansas/24-008766-001/2024|2024-03-21, 2024.22
A/cattle/Kansas/24-008767-001/2024|2024-03-20, 2024.22
A/cat/Texas/24-008850-001/2024|2024-03-20, 2024.22
A/cat/Texas/24-008850-002/2024|2024-03-20, 2024.22
A/cattle/Michigan/24-009027-001/2024|2024-03-24, 2024.23
A/cattle/Michigan/24-009027-002/2024|2024-03-24, 2024.23
A/cattle/Michigan/24-009027-003/2024|2024-03-24, 2024.23
A/cattle/Michigan/24-009027-004/2024|2024-03-24, 2024.23
A/cattle/Michigan/24-009027-005/2024|2024-03-24, 2024.23
A/cattle/Michigan/24-009027-010/2024|2024-03-24, 2024.23
A/cattle/Texas/24-009028-001/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009028-002/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009028-003/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009028-005/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009028-007/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009028-008/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009028-009/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009028-019/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009029-001/2024|2024-03-21, 2024.22
A/cattle/Texas/24-009087-001/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009088-001/2024|2024-03-13, 2024.20
A/cattle/Texas/24-009088-002/2024|2024-03-13, 2024.20
A/cattle/Texas/24-009108-001/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009108-002/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009108-003/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009108-004/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009108-005/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009108-006/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009108-007/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009109-001/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009109-002/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009109-003/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009109-004/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009109-005/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009109-006/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009109-007/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009109-008/2024|2024-03-20, 2024.22
A/cattle/Texas/24-009110-001/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-002/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-003/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-004/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-005/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-006/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-007/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-008/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-010/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-011/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-012/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-014/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-015/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-016/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-017/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-018/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-019/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-020/2024|2024-03-14, 2024.20
A/cattle/Texas/24-009110-021/2024|2024-03-14, 2024.20
